"Country or Area","Year","Value"
"Australia","2020","400333.466600032"
"Australia","2000","349635.486902168"
"Australia","1990","278154.156295787"
"Austria","2020","62037.4467635867"
"Austria","2000","66149.7797144861"
"Austria","1990","62145.2482884846"
"Belarus","2020","58592.0409345015"
"Belarus","2000","54905.9828500558"
"Belarus","1990","108345.055020991"
"Belgium","2020","90368.0082918082"
"Belgium","2000","126719.534844423"
"Belgium","1990","120292.644130863"
"Bulgaria","2020","36967.1129755169"
"Bulgaria","2000","45464.3317774047"
"Bulgaria","1990","76699.1974269393"
"Canada","2020","534863.824244431"
"Canada","2000","566690.446916788"
"Canada","1990","458218.335926151"
"Croatia","2020","16870.528408384"
"Croatia","2000","19662.4867687669"
"Croatia","1990","22979.7889577863"
"Cyprus","2020","7269.57770038249"
"Cyprus","2000","7122.41640200823"
"Cyprus","1990","4653.21654224293"
"Czechia","2020","91853.8788192116"
"Czechia","2000","127155.96174428"
"Czechia","1990","164210.74843793"
"Denmark","2020","29948.3803722495"
"Denmark","2000","55641.0280386049"
"Denmark","1990","54879.3098018163"
"Estonia","2020","9343.01003354347"
"Estonia","2000","15500.3821654621"
"Estonia","1990","36922.213286462"
"European Union","2020","2955455.27234186"
"European Union","2000","4176856.60473725"
"European Union","1990","4470262.00872625"
"Finland","2020","37595.9273924821"
"Finland","2000","57009.922939233"
"Finland","1990","56914.336831446"
"France","2020","295136.416595281"
"France","2000","418188.986219629"
"France","1990","400964.634566633"
"Germany","2020","639381.0132743"
"Germany","2000","899351.823728537"
"Germany","1990","1051979.10343184"
"Greece","2020","55610.2773526295"
"Greece","2000","102973.166536014"
"Greece","1990","83438.039765697"
"Hungary","2020","47284.4967776955"
"Hungary","2000","58365.1507656802"
"Hungary","1990","73225.5355036488"
"Iceland","2020","3328.87569786753"
"Iceland","2000","2923.14054650968"
"Iceland","1990","2215.85571376301"
"Ireland","2020","35153.2021183073"
"Ireland","2000","45249.1164185925"
"Ireland","1990","32944.4202136033"
"Italy","2020","302278.600264494"
"Italy","2000","470487.186762437"
"Italy","1990","439549.839908439"
"Japan","2020","1042224.01561306"
"Japan","2000","1264594.6564831"
"Japan","1990","1158129.43944799"
"Latvia","2020","6994.1129030566"
"Latvia","2000","7081.46852119382"
"Latvia","1990","19661.3962255959"
"Liechtenstein","2020","141.996093051619"
"Liechtenstein","2000","216.859998072712"
"Liechtenstein","1990","198.970855799094"
"Lithuania","2020","13653.1549264396"
"Lithuania","2000","11876.4004310189"
"Lithuania","1990","35767.7339597809"
"Luxembourg","2020","8096.51322274887"
"Luxembourg","2000","8709.96312363695"
"Luxembourg","1990","11823.3528845117"
"Malta","2020","1599.5764579097"
"Malta","2000","2507.25671163476"
"Malta","1990","2394.19436192861"
"Monaco","2020","60.7893524271803"
"Monaco","2000","100.2921766892"
"Monaco","1990","98.2283373346324"
"Netherlands","2020","137849.51758227"
"Netherlands","2000","171082.229995296"
"Netherlands","1990","161806.917092808"
"New Zealand","2020","34456.7529649475"
"New Zealand","2000","32246.0093482273"
"New Zealand","1990","25502.5069047171"
"Norway","2020","41196.7614202674"
"Norway","2000","42148.808680293"
"Norway","1990","35096.6265858733"
"Poland","2020","303523.081886695"
"Poland","2000","317719.194502981"
"Poland","1990","376813.576614763"
"Portugal","2020","41799.8943444631"
"Portugal","2000","65685.5470927536"
"Portugal","1990","45325.0852075222"
"Romania","2020","74138.0086203127"
"Romania","2000","92668.2955592114"
"Romania","1990","173463.869959499"
"Russian Federation","2020","1624221.43112061"
"Russian Federation","2000","1478184.75290737"
"Russian Federation","1990","2534865.05979322"
"Slovakia","2020","31094.7280226741"
"Slovakia","2000","41135.9345277674"
"Slovakia","1990","61470.1873555169"
"Slovenia","2020","12866.236824744"
"Slovenia","2000","15053.6896799485"
"Slovenia","1990","15094.8490368416"
"Spain","2020","213339.720700709"
"Spain","2000","311674.624150698"
"Spain","1990","231328.438644077"
"Sweden","2020","36515.1013637688"
"Sweden","2000","54890.6630820089"
"Sweden","1990","57580.0898287626"
"Switzerland","2020","34240.9669504251"
"Switzerland","2000","43622.3693210475"
"Switzerland","1990","44159.8819868805"
"Türkiye","2020","413433.08541508"
"Türkiye","2000","229858.206967401"
"Türkiye","1990","151664.53196389"
"Ukraine","2020","206941.158966775"
"Ukraine","2000","285321.939445739"
"Ukraine","1990","705830.043363398"
"United Kingdom","2020","326920.692501559"
"United Kingdom","2000","569744.209114333"
"United Kingdom","1990","602652.078445608"
"United States of America","2020","4715691.10920053"
"United States of America","2000","6016350.57374557"
"United States of America","1990","5122496.24818322"

